id,created,updated,title,content,tags,product,topic,locale,answers,creator
1402878,2023-01-20 16:57:50 -0800,2023-01-27 01:48:35 -0800,Thunderbird does not recognise my Email Passwords since I updated,<p>I have just updated to the latest Versian of Thunderbird and now it does not recognise my Email Passwords for Plus Net and also Google  Every time I log in it asks for my Plus net Password but then it asks me to log in to GOOGLE I put in my Google Password but then a security box comes up but in a Language that I cannot recognise  I am in Spain at my Apartment at the moment But it does not look like Spanish    </p><p>I do not have a clue as to what it is asking me and I do not know what Google has got to do with your Email HOW CAN I SOLVE THIS PLEASE </p><p>Yours Sincerely  Ron Goldthorpe </p>,download-and-install_1;,thunderbird,installation-and-updates,en-US,1560858;1560913;1561069;1561072;1561102;1562182;,310Jupiter
1402881,2023-01-20 19:07:35 -0800,2023-01-20 20:54:18 -0800,Thunderbird mailbox capacity,<p>a)Thunderbird mailbox capacity - how to find out space available to avoid breakdown? b) I used to be able to copy the address book on csv. Zip files do not provide access to this data. What to do? Thanks James Bedbrook </p>,fix-problems;,thunderbird,troubleshooting,en-US,1560876;1560883;1560884;,decentricjb
1402883,2023-01-20 19:54:21 -0800,2023-02-07 19:41:31 -0800,Sincronizar etiquetas en distintos ordenadores,"<p>Hola, me gustaria saber como se sincronizan etiquetas en la misma cuenta de email pero de distintos ordenadores. Desde mi casa y trabajo sale solo. Pero desde el trabajo en dos ordenadores distintos no sale, y no se por que. Alguien me puede echar un cable? Gracias. </p>",customize;,thunderbird,settings,es,1561001;1561060;1561810;1561862;1563832;1563897;1564610;,kalinkan
1402884,2023-01-20 20:05:31 -0800,2023-01-25 16:23:51 -0800,jose antonio montero,"<p>Saludos, mi problema es que desde hace varios dias no puedo acceder con thunderbir , que es mi gestor de correo para varias cuentas desde hace años, nunca he tenido un problema, hasta hace unos dias, el problema es que, tunderbir, no puede acceder a mi cuenta de hotmail en concreto a esta  merlin-mago@hotmail.es  las demas si pero esta en cocreto , no, le he cambiado la contraseña y puedo acceder normalmente, pero thunderbird , me dice lo que les envio en la imagen, Podrian ayudarme a solucionar el problema, , muchas gracias,, por cierto he reiniciado , he vuelto a instalar el gestor de correo y las contrasesñas , solo da problema esa cuenta enconcreto, Muchas gracias, espero su respuesta </p>",other;,thunderbird,other,es,1560972;1561101;1561813;1561825;1561850;1561853;1561859;,jamm2510
1402887,2023-01-20 21:01:05 -0800,2023-01-21 07:04:48 -0800,Thunderbird does not recognise my Email Passwords since I updated,<p>I posted a question this morning and got a reply which I read using gmail but could not reply to it and I cannot find were I posted the question or the reply from christ 1  I have copied and pasted my reply below </p><p><br> Ron Goldthorpe &lt;[email]@gmail.com&gt; Attachments 12:33 (2 minutes ago) to no-reply </p><p>I put in my Plus net Password and press enter and then it takes me to the next screen see Capture 1 I then put in my Google Internet Password and then press enter and it then takes me to Capture 2 and then I am completely lost I have used Thunderbird in my Spain Apartment and also at home in England for several years and it has never taken me to Google and never come up with another Language Fortunately I have logged into Google Mail and managed to add my Plusnet EMail to this otherwise I would not be able to read your reply without logging into a very Basic Plusnet Webmail </p><p>It is the first time I have ever used Google Mail it is not bad but I prefer Thunderbird if I can get it working again </p><p>Yours Sincerely Ron Goldthorpe   </p><p>PS when you reply can you please tell me how to find it in your system </p><pre>One attachment  • Scanned by Gmail </pre>,download-and-install_1;,thunderbird,installation-and-updates,en-US,1560914;,310Jupiter
1402904,2023-01-21 01:23:14 -0800,2023-01-21 02:00:13 -0800,email sync?,"<p>I use a PC with Thunderbird and an iPhone with its mail app(Thunderbird not installed on iPhone).  Approx 2 weeks ago, I found the mail icon gone from my iPhone.  After dealing with Apple and Spectrum(my ISP), mail was restored but not syncing between devices.  Prior to that problem, if I deleted an email on my iPhone, it disappeared on my PC, and vice versa.  Now I have to manually delete on each device.  How do I get back to pre-incident operation? </p>",fix-problems;,thunderbird,troubleshooting,en-US,1560927;,teckles
1402907,2023-01-21 01:34:57 -0800,2023-01-23 23:55:40 -0800,Transfer Profile problem,<p>I have followed all the steps on the video and in the instructions to transfer my profile from my old computer to the new one. Everything seemed to work fine until the end: I was not given the prompt to replace my current data. Any help will be much appreciated. Thanks. </p>,other;,thunderbird,other,en-US,1560928;1560989;1561070;1561133;1561262;1561318;1561325;1561473;,HonestJohn
1402910,2023-01-21 02:10:46 -0800,2023-01-22 18:44:40 -0800,unable to forward with filters without error messages,"<p>facing a lot of issues using yahoo mail with thunderbird </p><p>filters are not automatically triggered when i turn on thunderbird the first time in the day the filters need to be launched manually </p><p>when i am trying to use filters to forward emails from <strong>yahoo account</strong>, i am getting the same error per email which asks me to put in the password for the yahoo mail which i then cross  </p><p>first the above error comes and right after there is an error regarding smtp issues and unable to forward which i again cross </p><p>after the above the mail then gets forwarded </p><p>so if i have 20 odd mails to forward through a filter then i have to cancel/cross 40 dialog boxes to be finish the process </p><p>dont know why this is happening everytime </p><p>kindly help thanks in advance </p>",fix-problems;,thunderbird,troubleshooting,en-US,1561074;1561244;,praneet.jhun
1402912,2023-01-21 02:35:09 -0800,2023-01-21 10:45:55 -0800,tbird will not save passwords,"<p>This is in response to Matt: Yes the login occurs, however sometimes get spinning loading symbol indefinitely.... </p><p>Added few items: Versions: tbird 102.7.0 win 10  22h2 19045.2486 </p><p><br> Conditions: Save box appears below pwd entry box permissions ok on files running tbird as admin </p><p>nothing appears in saved passwords box before or after attempt </p><p>no win log issue </p><p>""normal password"" on server imap account hmailserver </p><p>this occurred after upgrade tbird purged existing pwds </p><p>Tried: deleted key3.db, key4.db, cert9.db and logins.json </p><p>no pkcs11.txt file </p><p>no external attached pwd manager </p><p>Thank you, </p><pre>   h </pre>",other;,thunderbird,other,en-US,1561034;,SumoBot
1402913,2023-01-21 02:43:09 -0800,2023-01-21 02:50:02 -0800,Thunderbird Displays Same Email,"<p>This morning I opened Thunderbird that I access my Yahoo Mail through. When I click on any message in my inbox it displays the information (to, from, subject, and body) from an email from July 17, 2020. This email has been deleted on Thunderbird and Yahoo and both trashes have been entered. If I delete the new message that should be something else on Thunderbird it disappears from Yahoo Mail as normal. </p><p>I recently started using the calendar, about a week ago, and sync it using tbSync with my Apple Calendar. It's been working perfectly and the the calendar is still working. It's just reading messages in my inbox. Messages stored in my folders that are on my hard drive work. </p><p>I've confirmed that my webmail access on <a href=""http://mail.yahoo.com"" rel=""nofollow"">mail.yahoo.com</a> is still working properly. My email client, Spark, on my phone is still working properly. I have Thunderbird 102.4.2 (64-bit) running on Ubuntu 22.04. I've also restarted and rebooted my computer just in case. </p>",other;,thunderbird,other,en-US,1560937;,a.hoeppner
