id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1418836,2023-07-20,"Beta hangs after import After downloading the Beta, I ran the import from the existing. It restarted and hung. I've not been able to get it to load at all after",🐧;Ubuntu;os:linux,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;import;,2023-07-19 17:17:15 -0700
1418838,2023-07-20,unable to send e-mail on Thunderbird Just back from vacation. since back Thunderbird wont allow me to send messages. SMPT error AU#out-1500. I use Spectrum (ROO,❓;;os:unknown,👽;other;t:other,💌;Spectrum;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;spectrum;troubleshootingdetailsmissing;,2023-07-19 17:57:02 -0700
1418841,2023-07-20,"Thunderbird Email Just this week I can no longer access email via Thunderbird.  My ISP (CenturyLink) warns that my account is being ""processed"" and please stand",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;troubleshootingdetailsmissing;centurylink;,2023-07-19 18:46:35 -0700
1418842,2023-07-20,"Message headers in 115 have an icon and the display name and a second line with sender's address I'm seeing this on only one of two TBird 115 PCs: on the first,",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;tb115;,2023-07-19 18:50:20 -0700
1418844,2023-07-20,error error ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-19 19:42:15 -0700
1418846,2023-07-20,"When editing a draft, it saves a new one instead of overwriting it in the remote folder I am using thunderbird 91.6.1 and Office 365 for email.  I have noticed ",❓;;os:unknown,🔩;customize;t:customize,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-07-19 20:06:23 -0700
1418849,2023-07-20,"Address selection fails 1. In the address book, I cant select multiple non-contiguous addresses to add to email lists using command. Shift works to select conti",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-19 20:33:49 -0700
1418854,2023-07-20,"download mail on individual accounts Hi, This just started tonight: I'm running TBird 115. I have several email accounts downloading to a unified local folder. ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;tb115;,2023-07-19 22:06:34 -0700
1418855,2023-07-20,TB115 No sounds on incoming messages when accounts are IMAP (Win10) I created the IMAP accounts. I defined in seetings a specific *.wav file to be played. When ,🪟;Win10;os:win10,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;sound;tb115;,2023-07-19 23:05:42 -0700
1418856,2023-07-20,"Sending emails, get message that says I need to check Account Settings and authenticate. I can't send emails from my computer. I can send them from my phone. I ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;troubleshootingdetailsmissing;,2023-07-19 23:16:13 -0700
1418858,2023-07-20,"Loss of 2 email address from sent, draft, junk and trash folders after recent update of Thunderbird I would like to thank all the volunteers for helping me in t",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;troubleshootingdetailsmissing;tb115;,2023-07-19 23:27:45 -0700
1418860,2023-07-20,"Email Quota Hve recived this Mail Quota Notification For ""[email]@travhotec.com.au"". [email]@travhotec.com.au"" Your Mail Quota is almost full. To continue using",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;notathunderbirdproblem;,2023-07-20 00:35:02 -0700
1418863,2023-07-20,"Unable to import from existing TB account I have been trying for days to get back my profile files for account settings, emails, and address book. All but one t",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;import;,2023-07-20 02:17:27 -0700
1418864,2023-07-20,"Threads I use Thurderbid 115.0, windows 10.  Some folders display as threads, which I don't want.  I cannot change this, via view / sort by / unthreaded.  It ha",🪟;windows 10;os:win10,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;tb115;threading;,2023-07-20 02:30:06 -0700
1418866,2023-07-20,Horizontal lines between messages in TB 115.0 Hi I find horizontal lines between messages a big help. I've updated to TB 115.0 and the lines have disappeared. I,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,🪛;userchrome;uc:unsupported_customization,customize;unsupported;userchromecss;unsupporteduserchromecss;tb115;zebrastriping;,2023-07-20 03:04:49 -0700
1418869,2023-07-20,"TB 102.13.0 (64-bit) Settings not saving: tag descriptions, server settings, email passwords I have TB 102.13.0 (64-bit) with a bespoke location for the profile",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;probablynotathunderbirdproblem;dropbox;,2023-07-20 03:36:06 -0700
1418871,2023-07-20,Send Message Error I am having this error message when we try to send an email ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-20 03:59:47 -0700
1418872,2023-07-20,"Can I copy existing TBird to new computer? I would like to be able to copy all of my current TBird (profile, settings, add-ons, folders, content etc) to new com",🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-20 04:18:41 -0700
1418873,2023-07-20,Tag posta in arrivo Ciao a tutti. Su outlook ogni volta che ricevevo un email dove ero taggato (per tag intendo all interno del messaggio la dicitura nome.cogno,❓;;os:unknown,🔩;customize;t:customize,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-07-20 04:29:30 -0700
1418878,2023-07-20,no emails since July 19 2023 Why? fix it so I am receiving emails again from Bell.net ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;troubleshootingdetailsmissing;bellnet;,2023-07-20 05:58:07 -0700
1418879,2023-07-20,"Meetings stored in the wrong calendar I have 5 calendars, 3 are linked to an email address (via Properties - Email). If I accept an MS Teams invite send to work",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;troubleshootingdetailsmissing;,2023-07-20 06:09:04 -0700
1418880,2023-07-20,"Importazione files Salve, dovrei importare files di posta .pst da outlook, ma mi compare errore, perchè? ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-20 06:11:30 -0700
1418882,2023-07-20,TB115 Lost saved email addresses in my address books I installed a new update for thunderbird today and now I have lost all of my saved email addresses in my ad,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;troubleshootingdetailsmissing;tb115;,2023-07-20 06:40:30 -0700
1418885,2023-07-20,"Thunderbird - ao clicar em responder o remetente demora para carregar Ola Prezados, bom dia   Thunderbird - ao clicar em responder o remetente demora para carre",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-20 07:33:29 -0700
1418886,2023-07-20,"address book every time mozilla does a major update and you are unable to sign-in to your email unless you do the update, it deletes my address book. Please sto",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-20 07:36:47 -0700
1418887,2023-07-20,can't add senders to contacts I have version 102.11.0 I am trying to add email addresses to my contacts folder from the email header. I right click on the addre,🐧;Linux;os:linux,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;cardbook;cardbook908;,2023-07-20 07:40:45 -0700
1418889,2023-07-20,"Folder view ""Unread folders"" Hello, a few days ago I switched to the new version 115 and I find it very nice. In my daily work, I use View > Folders > Unread Fo",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;tb115;bug341266;,2023-07-20 07:54:54 -0700
1418891,2023-07-20,"Mouse scroll wheel not working anywhere in V115 Installed thunderbird for the first time. Mouse scroll wheel doesn't work in the inbox, in message view, in sett",🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,other;hardwareacceleration;tb115;notathunderbirdproblem;,2023-07-20 08:26:34 -0700
1418892,2023-07-20,changing my email address I have a new email address which Thunderbird needs to know. How do I tell Th bird ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;msoauth;probablynotathunderbirdproblem;,2023-07-20 08:45:35 -0700
1418901,2023-07-20,"Cannot send messages after installing Thunderbird We just got two new office computers and Windows Mail sucks. So I downloaded Thunderbird, and set up my accoun",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,fix-problems;probablynotathunderbirdproblem;shaw;,2023-07-20 09:44:46 -0700
1418902,2023-07-20,How to unsubscribe to imap spam folder in cpanel type email account supernova is great. Well done!!! But... My problem is I cannot unsubscribe to the Spam Imap ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;spam;,2023-07-20 09:46:40 -0700
1418904,2023-07-20,"Thunderbird email When I forward a message in Thunderbird, the forwarded message contains randomly added ""b"" throughout. How do I prevent this? ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-20 10:02:54 -0700
1418905,2023-07-20,"Sender Email Adress Hi, I've noticed that the actual sender's email address in thunderbird old/new is only visible when I open the individual email message. It ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-20 10:29:34 -0700
1418909,2023-07-20,"Deleting individual emails takes six seconds This problem likely began after the most recent upgrade, just a few days ago.  Current version 102.13.0. ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;troubleshootingdetailsmissing;probablynotathunderbirdproblem;,2023-07-20 10:43:26 -0700
1418910,2023-07-20,"Thunderbird Replacing Received Email with Duplicates Hopefully, I can explain this to where it makes sense. I have been having a long term issue with Thunderbir",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;probablynotathunderbirdproblem;,2023-07-20 10:45:49 -0700
1418911,2023-07-20,"All incoming mail goes direct to JUNK, how do I correct it? All of our incoming emails go directly to JUNK.  I cannot find how to change settings to have the ma",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;antivirus;troubleshootingdetailsmissing;probablynotathunderbirdproblem;,2023-07-20 11:06:52 -0700
1418912,2023-07-20,Thunderbird Cannot Send Email Through Outlook Account I installed Thunderbird 115.0.1 on Windows 11.  I configured it for two accounts.  One was a custom domain,🪟;Windows 11;os:win11,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;msoauth;notathunderbirdproblem;,2023-07-20 11:09:19 -0700
1418914,2023-07-20,moving from folder to folder I am stuck in Trash. Can't get to other folders. I can't get to new emails. To read them I have to go to gmail. How do I get back t,❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-20 11:59:50 -0700
1418917,2023-07-20,tömeges e-mail küldése titkos címekkel Hogyan kell csinálni - tömeges e-mail küldése titkos címekkel - Thunderbird-el? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-20 12:30:11 -0700
1418920,2023-07-20,I have two Drafts folders instead of one Hi there! I am using Thunderbird with an Outlook e-mail account. Due to the slowness and cumbersomeness of the syncing ,❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;msoauth;,2023-07-20 13:02:21 -0700
1418921,2023-07-20,Authentication of alias account keeps popping up to authenticate--not the primary account? I am using mailfence as my e-mail provider and have created a primary,❓;;os:unknown,👽;other;t:other,📯;mailfence;m:mailfence,❓;;av:unknown,❓;;uc:unknown,other;troubleshootingdetailsmissing;mailfence;,2023-07-20 13:04:23 -0700
1418924,2023-07-20,"Emails Auto-Delete Emails keep auto deleting my emails, even though my settings are set for never delete. How can this issue be solved? ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-20 13:20:49 -0700
1418926,2023-07-20,how do I remove your contribution request from the thunderbird screen see my question ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-20 14:14:29 -0700
1418928,2023-07-20,"cardbook launches ""Add a new address book"" dialog every time a contact is opened. I'm a long-time Thunderbird user (since TB 3.0) finding myself having to rebui",❓;;os:unknown,🔩;customize;t:customize,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;tb115;probablynotathunderbirdproblem;cardbook;,2023-07-20 14:37:23 -0700
1418929,2023-07-20,"Signature seems to get formatted as table when I paste Excel or Google Sheets cells into message body Hello, I'm trying to set up a signature in Thunderbird tod",❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;signature;,2023-07-20 14:37:28 -0700
